Semana,Día / Sesión,Orden,Patrón Motor / Ejercicio,Variante Gym,Variante Casa (Banco Romano/Mancuernas),Series,Reps Objetivo,RIR / Esfuerzo,Descanso (seg),Tempo (Exc-Iso-Conc),Sobrecarga Progresiva / Notas Biomecánicas
Semana 1,Día 1 (Lunes) - Torso Superior,1,Remo Pecho Apoyado,Remo máquina placas apoyo esternal,Remo mancuernas pecho apoyado en banco 45°,4,8-10,2-3,90,2-1-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Depresión y retracción escapular sin tensión lumbar.
Semana 1,Día 1 (Lunes) - Torso Superior,2,Press Plano Mancuernas,Press plano neutro-semipronado,Floor press o press en banco plano con mancuernas,3,8-10,2-3,90,3-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Codos en 45° para proteger el tendón bicipital y acromion.
Semana 1,Día 1 (Lunes) - Torso Superior,3,Jalón al Pecho Neutro,Polea alta agarre estrecho cerrado,Remo invertido bajo mesa o dominada asistida con banda,4,10-12,2-3,90,2-1-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Tirar hacia el esternón sin reclutar excesivo trapecio superior.
Semana 1,Día 1 (Lunes) - Torso Superior,4,Press Militar Respaldo 75°,Press sentado mancuernas,Press mancuernas con respaldo lumbar firme,3,8-10,2-3,90,2-0-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Control de la pared abdominal; sin arquear la baja espalda.
Semana 1,Día 1 (Lunes) - Torso Superior,5,Face Pull en Polea Alta,Polea alta con cuerda doble a las sienes,Face pull con banda elástica anclada en puerta,3,15-20,2-3,60,2-2-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Rotación externa al final para corregir postura de oficina.
Semana 1,Día 2 (Martes) - Pierna Dominancia Anterior y Core,1,Prensa de Piernas 45°,Prensa 45° colocación media,Goblet Squat pesado con mancuerna,4,8-10,2-3,120,3-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Descarga axial total de columna vertebral.
Semana 1,Día 2 (Martes) - Pierna Dominancia Anterior y Core,2,Peso Muerto Rumano,RDL con mancuernas pegadas al cuerpo,RDL con mancuernas y bisagra pura,3,8-10,2-3,120,3-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Desplazar cadera atrás; estiramiento controlado de isquios.
Semana 1,Día 2 (Martes) - Pierna Dominancia Anterior y Core,3,Extensiones Banco Romano,Banco romano 45° gym,Banco romano 45° en casa,3,12-15,2-3,60,2-1-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Apretar glúteos arriba sin hiperextender vértebras lumbares.
Semana 1,Día 2 (Martes) - Pierna Dominancia Anterior y Core,4,Curl Femoral Sentado/Tumbado,Curl femoral máquina,Curl femoral deslizante en suelo con toalla,3,10-12,2-3,60,2-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Equilibrio agonist/antagonist de la rodilla.
Semana 1,Día 2 (Martes) - Pierna Dominancia Anterior y Core,5,Plank con Retroversión,Plank en suelo sobre codos,Plank en suelo sobre codos / Dead Bug,3,30-45 seg,2-3,45,Isométrico,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Basculación pélvica posterior consciente.
