Categoría,Producto,Marca,Cantidad Semanal,Cantidad Mensual,Ubicación/Notas
Frutas/Verduras,Plátano de Canarias,Genérica,12 unidades,48 unidades,Frutero principal / Comprar pintones
Frutas/Verduras,Arándanos frescos,Dole / Berries,3 bandejas (375g),12 bandejas,Frigorífico cajón verduras
Frutas/Verduras,Espinacas Baby,Florette,2 bolsas (600g),8 bolsas,Frigorífico / Para batidos y ensaladas
Frutas/Verduras,Aguacate Hass,Bio,4 unidades,16 unidades,Frutero / Maduros para tostadas
Carnicería,Pechuga de Pollo limpia,Mercadona / Carnicería local,1.5 kg,6 kg,Congelador y raciones diarias
Carnicería,Carne picada vacuno 95/5,Carnicero,800 g,3.2 kg,Frigorífico en táper hermético
Carnicería,Salmón fresco en lomos,Pescadería,600 g,2.4 kg,Consumir en 48h o congelar
Huevos/Lácteos,Huevos Camperos Clase M/L,Granja local,24 unidades,96 unidades,Huevera en despensa fresca
Huevos/Lácteos,Claras de huevo pasteurizadas,Pascual,2 botellas (1L),8 botellas,Frigorífico
Huevos/Lácteos,Queso fresco batido 0%,Hacendado,3 botes (1.5 kg),12 botes,Frigorífico / Desayunos y postres
Huevos/Lácteos,Bebida de Avena sin azúcar,Alpro / Oatly,3 briks (3L),12 briks,Despensa / Nevera una vez abierta
Carbohidratos/Secos,Avena integral suave,Kölln / Hacendado,1 kg,4 kg,Bote hermético en despensa
Carbohidratos/Secos,Arroz Jazmín o Basmati,Sundari,1 kg,4 kg,Despensa seca
Carbohidratos/Secos,Tortas de maíz / arroz,Bicentury,2 paquetes,8 paquetes,Snacks pre-entreno
Carbohidratos/Secos,Patatas / Boniatos,Genérica,2 kg,8 kg,Lugar oscuro y ventilado
Grasas/Condimentos,Aceite de Oliva Virgen Extra,Coosur / Hojiblanca,0.5 L,2 L,Aceitera opaca protegida de luz
Grasas/Condimentos,Crema de Cacahuete 100%,Prozis / MyProtein,1 bote (500g),2 botes,Despensa
Suplementación,Proteína Whey Isolate,MyProtein / Optimum,500 g,2 kg,Sabor Chocolate o Neutro
Suplementación,Creatina Creapure,Creapure,100 g,300 g,Bote de suplementos
Suplementación,Omega 3 + Multivitamínico,Life Extension,1 bote,1 bote,Pastillero semanal
