Categoría,Producto,Marca Aldi,Formato Comercial,Cantidad Semanal,Cantidad Mensual (x4),Apto Celíaco,Notas / Ubicación
Huevos y Lácteos,Huevos Camperos Clase M/L,El Mercado / GutBio,Docena (12 uds),2 docenas (24 uds),8 docenas (96 uds),Naturalmente sin gluten,Sección refrigerados / huevos
Huevos y Lácteos,Yogur Griego Natural (o Kéfir),Milsani,Pack 4x125g o Cubo 1kg,1.6 kg (~3 botes de 500g),6.4 kg (~6-7 cubos),Sin gluten verificado,Elegir natural sin azúcares añadidos
Carnicería Fresca,Pechuga de Pollo / Pavo Fileteada,El Mercado,Bandeja 500g - 650g,~900 g (2 bandejas),~3.6 kg (6 bandejas),Carne fresca sin aditivos,Corte magro
Carnicería Fresca,Filetes de Ternera Magra,El Mercado,Bandeja ~400g - 500g,~700 g (2 bandejas),~2.8 kg (6 bandejas),Carne fresca sin aditivos,Aporte de hierro hemo
Pescadería,Lomos de Salmón (Fresco/Congelado),El Mercado / Golden Seafood,Pack 2 lomos (~250g - 300g),~750 g (2-3 packs),~3.0 kg (10 packs),Pescado fresco/ultracongelado,Ácidos grasos Omega-3
Pescadería,Lomos de Merluza / Bacalao,Golden Seafood / El Mercado,Bolsa 400g - 500g,~600 g (1-2 bolsas),~2.4 kg (5-6 bolsas),Pescado blanco sin rebozar,Proteína magra digestiva
Frutas y Verduras,Plátanos de Canarias y Manzanas,El Mercado,A granel / Malla 1kg,1.5 kg (~7 piezas),6 kg,Fresco / Natural,Carbohidrato rápido peri-entreno
Frutas y Verduras,Kiwis / Frutos Rojos,El Mercado,Cesta 500g / Tarrina,1 kg (~7-8 piezas),4 kg,Fresco / Natural,Vitamina C para absorción de hierro
Frutas y Verduras,Aguacates Hass,El Mercado,Malla 500g o unidad,3 unidades (~300g),12 unidades (~1.2 kg),Fresco / Natural,Grasas monoinsaturadas
Frutas y Verduras,Calabacín y Judías Verdes,El Mercado,A granel / Bandeja 500g,1.2 kg,4.8 kg,Fresco / Natural,Fibra y volumen estomacal
Frutas y Verduras,Rúcula y Espinacas Baby,El Mercado,Bolsa 100g - 150g,4 bolsas (~500g),16 bolsas (~2 kg),Fresco / Lavado,Folatos y magnesio
Tubérculos y Granos,Patatas y Boniatos,El Mercado,Malla 2kg / 3kg,3.2 kg,13 kg (~4-5 mallas),Naturalmente sin gluten,Carbohidrato de asimilación limpia
Tubérculos y Granos,Arroz Basmati o Jazmín,La Villa / GutBio,Paquete 1kg,~600 g,2.4 kg (~3 paquetes),Certificado / Grano puro,Fácil digestión pre-entreno
Despensa Sin Gluten,Pan de Molde Sin Gluten (con sarraceno),GutBio / Especial Sin Gluten,Paquete 250g - 300g,2-3 paquetes (~600g),10 paquetes,Sello 'Sin Gluten' / Espiga Barrada,Sección dietética / panadería especial
Despensa Sin Gluten,Tortitas de Arroz Integral,GutBio,Paquete 130g,~600 g,2.4 kg (~3 paquetes),Sello Sin Gluten,Snack post-entreno rápido
Frutos Secos y Grasas,Nueces Peladas al Natural,Natural / GutBio,Bolsa 200g,1 bolsa (consumo ~140g),3 bolsas (600g),Comprobar trazas en etiqueta,Frutos secos sin tostar ni sal
Frutos Secos y Grasas,Crema de Cacahuete / Almendra 100%,GutBio,Tarro 250g - 350g,~100 g (medio tarro),1-2 tarros,Ingrediente único: 100% fruto seco,Sin aceites añadidos ni azúcares
Aceites y Condimentos,Aceite de Oliva Virgen Extra (AOVE),La Almazara del Olivar,Botella 1L / Garrafa,~200 ml,1 botella (1L),Naturalmente sin gluten,Fuente principal de grasa cardioprotectora
